id	prompt#0
0811.4413v6	A4 portrait format, scientific visualization of a Hidden Markov Model (HMM) with discrete observations, showing a sequence of states (Q) as colored nodes (blue, green, orange) connected by probabilistic transitions, with a large number of distinct observations (O) visualized as a dense, overlapping cloud of gray dots, a singular value decomposition (SVD) matrix floating in the background with spectral properties, clean lines and flat vector illustration style with subtle gradients, split-view composition showing the algorithm's efficiency with matrix multiplications and no local optima, color palette of blues, grays, and accent oranges, precise technical diagram with labeled components
1702.01970v1	A4 portrait format, scientific visualization of a joint framework for compressive sensing and wavelet reconstruction: a compressively sensed image patch (grayscale) being decomposed by a lifting-based, separable, image-matched wavelet (visualized as a 3D lattice of orthogonal filters with colored coefficients), with the reconstructed full image patch emerging on the right side, using a simple Gaussian-like sensing matrix, multi-level L-Pyramid wavelet decomposition strategy shown as nested pyramids of wavelet coefficients, clean technical illustration style with precise linework, cool blue and gray color palette with accent colors for wavelet coefficients, split-view composition with clear directional flow from sensing to reconstruction, sharp focus on the wavelet decomposition process.
1712.02779v3	A4 portrait format, scientific visualization of a neural network being fooled by simple geometric transformations, a 3D convolutional neural network architecture with visible activation maps and feature channels, a rotating and translating 3D cube or polyhedron being projected onto the network's input layer, the cube's edges warping and distorting the network's learned features, a split-view composition showing the original input on the left and the transformed, adversarial input on the right, with a clear visual disconnect between the network's predictions, a color palette of cool blues and grays for the network with warm reds and oranges highlighting the activation patterns and the adversarial distortion, clean and precise digital illustration style with sharp edges and subtle volumetric lighting, emphasizing the geometric simplicity and the network's failure to generalize.
1612.02374v1	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific visualization of a fully automatic end-to-end system for diagnosing Attention Deficit Hyperactivity Disorder (ADHD) and Autism Spectrum Disorder (ASD). The scene shows a split-view composition. On the left, a modern RGBD sensor (color and depth) captures a person's behavior, with a semi-transparent overlay of a 3D skeletal mesh and facial expression analysis data streams. On the right, a dynamic deep learning neural network architecture processes the sensor data, with activation patterns visualized as colored heatmaps (blue for controls, red for comorbid conditions). The connection between the sensor and the neural network is shown as a glowing data pipeline. The style is a precise, clean
1206.5248v1	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of high-dimensional structured data representation, showing a text document as a manifold embedded in a high-dimensional space, with a heat kernel visualization as a glowing, translucent overlay. The manifold's geometry is distorted to represent semantic similarity, with nodes connected by edges representing word co-occurrence. A split-view composition shows the original text on the left, with the corresponding high-dimensional manifold representation on the right. Clean, academic illustration style with a muted color palette of blues, grays, and warm yellows for the heat kernel, using precise line work and subtle gradients to represent data density.
1510.00203v1	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a particle filter system for multi-object tracking in a static scene. A 3D grid representing the scene, with multiple colored particle clouds (red, blue, green) converging on distinct object locations. Data association step visualized as golden connection lines linking particle clouds to detected object bounding boxes. State queue for each tracked object shown as a translucent, colored data buffer (e.g., cyan) containing a history of particle states. Adaptive parameter adjustment depicted as a dynamic, glowing feedback loop (orange) influencing particle weights and spread. Occlusion events shown as partial particle cloud occlusion, with recovery visualized as new particles emerging from the queue. Clean, technical illustration style with precise
1704.07130v1	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a dynamic knowledge graph evolving in a collaborative dialogue. Two agent nodes, one in cool blue and one in warm orange, connected by a central dialogue state. The knowledge graph is a complex, branching network of interconnected nodes and edges, with nodes representing structured concepts and edges representing semantic relationships. The graph is being dynamically updated, with new nodes and edges being added and existing ones being pruned, visualized as a flowing, organic structure. The style is a clean, modern scientific illustration with precise line work, subtle gradients, and soft directional lighting. The composition is a split-view, with the left side showing the initial dialogue state and the right side showing the evolved, more complex graph after strategic communication.
1701.05644v1	A4 portrait format, scientific visualization of a graphical model for rare disease physician targeting, showing a bipartite graph with patient nodes (small circles) and physician nodes (larger circles), edges representing relational dependencies, with a subset of edges highlighted in warm colors (red, orange) to indicate predicted target physicians, background of faint medical claim and prescription data gridlines, clean and precise academic illustration style with subtle grid lighting, split-view composition showing the graphical model on the left and a magnified detail of a single edge with probabilistic weights on the right, color palette of cool blues for non-targets and warm reds/oranges for predicted targets
1705.07348v2	A4 portrait format, scientific visualization of high-dimensional classification with thresholding method, cross-section view showing decision boundary as translucent hyperplane separating two clusters of data points, points near boundary highlighted with warm red glow indicating strong signals, points far from boundary in cool blue indicating noise, golden energy streams representing classification power flowing through informative points, clean academic illustration style with precise linework and subtle gradients, split-view composition showing both high-dimensional data cloud and 2D projection of decision boundary, loss function control visualized as transparent overlay with calibrated threshold line, mathematical notation for thresholding parameter embedded in corner
1303.0663v1	A4 portrait format, scientific visualization of a denoising-deep-neural-network (DDNN) architecture for voice activity detection, showing a deep neural network with multiple hidden layers, each layer visualized as a distinct, interconnected node cluster, with noisy speech waveforms as input and clean speech waveforms as output, data flow depicted as golden streams of activation energy, pre-training phase shown with a special unsupervised greedy layer-wise mode, fine-tuning phase shown with back-propagation algorithm arrows, color palette of cool blues for noisy inputs and warm reds for clean outputs, with a gradient from dark to light representing the denoising process, clean and precise academic illustration style with subtle grid lines, split-view composition showing both the network architecture and the
